id,text,topic,tags,summary,word_count,language
1,"Python is a high-level programming language used for web development, automation, data science, and artificial intelligence.","programming","python;language;web;automation;data-science;ai","General-purpose high-level language used across web, automation, and AI.","19","en"
2,"The capital of France is Paris.","geography","capital;France;Europe","States the capital city of France.","5","en"
3,"Machine learning is a field of study that gives computers the ability to learn from data without being explicitly programmed.","machine learning","ml;ai;data;learning","Describes machine learning as automated learning from data.","20","en"
4,"React is a JavaScript library used to build user interfaces, especially single-page applications.","web development","react;javascript;ui;spa","React is a JS library for building user interfaces and SPAs.","14","en"
5,"Flask is a lightweight Python web framework used to build APIs and backend services.","web development","flask;python;web;framework;api","Flask: minimal Python framework for APIs and backends.","13","en"
6,"Scikit-learn is a machine learning library for Python that provides tools for classification, regression, clustering, and model evaluation.","machine learning","scikit-learn;python;ml;library;classification;regression;clustering;evaluation","Scikit-learn: Python library offering common ML algorithms and evaluation.","21","en"
7,"OpenCV is an open-source computer vision library widely used for image processing, face detection, and real-time video analysis.","computer vision","opencv;vision;image-processing;face-detection;video","OpenCV: open-source CV library for image/video processing and detection.","18","en"
8,"JWT stands for JSON Web Token and is used for securely transmitting information between parties.","security","jwt;authentication;token;security","JWT: token format for secure information transmission.","12","en"
9,"Git is a version control system that helps developers track changes in code and collaborate efficiently.","devops","git;vcs;version-control;collaboration","Git: distributed VCS for tracking code changes and collaboration.","14","en"
10,"Drowsiness detection uses computer vision to identify signs of fatigue, often by tracking eye aspect ratio and blinking rate.","computer vision","drowsiness-detection;vision;biometrics;fatigue;eyes","Detecting drowsiness via CV by monitoring eye metrics and blink rate.","17","en"
